id	lila_id	Headword 	Definition 	Part of Speech 	Semantic Group 	Frequency Rank
DCC212	lilaLemma:121165	quis quid 	who? what? which? 	Pronoun 	Pronouns/Interrogatives 	212
DCC213	lilaLemma:128552	trahō trahere trāxī trāctum 	drag, draw 	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing 	213
DCC214	lilaLemma:123363	sanguis -inis m. 	blood 	Noun: 3rd Declension	The Body 	214
DCC215	lilaLemma:112261	metus -ūs m. 	fear, dread 	Noun: 4th Declension	Emotions 	215
DCC216	lilaIpoLemma:110679	tantum, tantummodo 	only 	Adverb 	Measurement 	216
DCC217	lilaLemma:96060	cōnsilium -ī n. 	"plan; council, group of advisors "	Noun: 2nd Declension	The City 	217
DCC218	lilaLemma:95952	coniunx coniugis m./f. 	spouse, husband, wife 	Noun: 3rd Declension	The Household 	218
DCC219	lilaLemma:88705	amō -āre 	"to love; amāns -ntis m./f.: lover "	Verb: 1st Conjugation	Love 	219
DCC220	lilaLemma:110327	levis -e 	light, trivial 	Adjective: 3rd Declension	Measurement 	220
DCC221	lilaLemma:100246	duo duae duo 	two 	Adjective: Numeral 	Measurement 	221
DCC222	lilaLemma:103755	ferus -a -um 	"wild, fierce; fera -ae f.: wild animal "	Adjective: 1st and 2nd Declension	Animals/Plants 	222
DCC223	lilaLemma:118263	poena -ae f. 	penalty, punishment 	Noun: 1st Declension	Justice 	223
DCC224	lilaLemma:93023	castrum -ī n. 	fortress, (regularly plural, castra camp) 	Noun: 2nd Declension	War and Peace 	224
DCC225	lilaLemma:103739	frāter frātris m. 	brother 	Noun: 3rd Declension	The Household 	225
DCC226	lilaLemma:105206	haud 	not 	Adverb 	Conjunctions/Adverbs 	226
DCC227	lilaLemma:111418	malus -a -um 	bad, evil 	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics 	227
DCC228	lilaLemma:106000	iaceō iacēre iacuī 	lie 	Verb: 2nd Conjugation	The House 	228
DCC229	lilaLemma:110381	līber lībera līberum 	"free; līberī (m. pl.): freeborn children "	Adjective: 1st and 2nd Declension	Justice 	229
